Edad;HorasEstudioxDia;HoraDescansoxDia;HorasFrentePantalla;HorasGymxSemana;PorcAsistencia;NivelStress;Promedio;Categoria_Rendimiento
18;4.84;7.44;7.39;11.36;87.72;4.17;78.25;Alto
18;4.44;7.03;5.12;8.33;88.43;3.33;84.94;Alto
18;5.74;7.76;6.27;5.17;94.98;4.56;70.35;Alto
18;4.6;7.16;7.48;10.28;82.38;3.9;85.35;Alto
18;2.48;9.03;6.48;8.91;72.17;1;71.81;Alto
18;5.11;8.72;3.17;9.68;88.47;4.74;73.12;Alto
18;5.5;7.28;6.07;5.57;85.6;5.82;80.61;Alto
18;5.1;7.75;7.3;10.77;85.32;4.91;70.96;Alto
18;4.45;7.48;2.6;2.04;83.58;4.48;77.59;Alto
18;5.86;6.96;1.39;16.37;92.75;5.51;85.92;Alto
18;3.89;7.96;4.82;4.91;76.78;3.21;79.46;Alto
18;4.26;7.17;3.56;5.26;80.83;3.98;71.3;Alto
18;4.7;6.71;6.19;10.78;77.94;6.54;75.19;Alto
18;3.83;8.79;2.94;1.33;80.21;2.09;79.5;Alto
18;4.3;8.56;1.42;10.46;81.73;3.26;92.4;Alto
18;6;8;5.43;6.55;86.45;6.2;86.55;Alto
18;7.82;7.49;4.53;18.76;96.78;7.6;79.58;Alto
18;2.93;9.03;5.87;11.08;70.17;1;80.69;Alto
18;5.54;8.05;5.43;14.37;83.47;3.85;84.65;Alto
19;1.01;6.11;6.36;0.85;71.94;3.28;50.89;Bajo
19;1.39;6.99;7.75;9.94;69.22;2.15;43.06;Bajo
19;2.94;4.37;3.06;9.75;76.11;6.05;54.21;Bajo
19;1.66;7.77;4.83;6.29;71.45;3.17;56.75;Bajo
19;2.32;3.9;7.85;4.42;55.35;6.2;52.81;Bajo
19;2.38;5.28;1.53;7.88;83.18;3.41;57.45;Bajo
19;2.96;6.43;3.36;10.46;66.44;4.38;54.09;Bajo
19;2.26;4.85;8.32;4.33;67.36;5.19;50.79;Bajo
19;3.7;4.76;2.51;15.43;71.79;6.06;54.12;Bajo
19;2.47;5.83;6.37;6.87;71.95;3.55;61.43;Bajo
19;4.99;6.5;4.06;2.41;90.11;8.02;56.86;Bajo
19;2.71;5.83;6.3;13.71;81.12;5.04;60.53;Bajo
19;2.32;7.15;2.53;5.57;66.13;2.88;58.74;Bajo
19;5.1;4.79;9.7;1.08;88.9;8.16;53.45;Bajo
19;3.42;6.64;1.02;6.08;75.78;4.13;61.49;Bajo
19;5.63;5.2;2.18;11.54;74.6;8.85;71.65;Bajo
19;3.79;5.86;1.89;1.85;81.78;5.32;60.25;Bajo
19;3.55;5.49;2.87;8.97;79.89;5.19;59.05;Bajo
19;6.4;3.61;3.87;18.54;89;9.73;57.05;Bajo
19;2.4;5.69;2.88;8.6;70.68;2.51;51.21;Bajo
19;3.33;5.83;6.52;5.34;77.59;4.05;60.54;Bajo
19;2.17;6.8;7.7;8.25;68.34;4.58;50.74;Bajo
19;0.5;6.65;6.57;5.65;65.67;1;60.14;Bajo
19;4.21;6.49;4.03;10.89;77.87;5.54;55.38;Bajo
19;3.35;6.43;3.86;12.15;73.79;4.79;53.33;Bajo
19;1.97;5.43;4.28;5.77;75.92;4.11;57.06;Bajo
19;1.57;7.27;6.76;10.22;68.65;2.28;61.57;Bajo
19;1.39;6.39;4.35;4.08;70.16;1.15;57.69;Bajo
19;5.97;6.08;3.42;3.88;83.76;8.35;60.26;Bajo
19;3.99;5.91;7.34;3.42;75.54;7.61;60.43;Bajo
19;4.87;6.44;3.04;7.73;80.21;6.78;65.48;Bajo
19;6;6.32;4.33;13.82;82.3;9.29;65.82;Bajo
19;3.68;4.57;1.96;11.84;83.05;6.85;48.48;Bajo
19;3.59;6.93;6.03;2.51;79.2;3.15;56.1;Bajo
19;4.41;6.09;6.84;10.82;69.07;4.89;61.87;Bajo
19;4.37;5.93;7.23;9.74;75.7;4.29;60.77;Bajo
19;4.59;5.81;5.33;17.09;84.92;6.68;62.77;Bajo
19;3.64;6.38;2.58;11.83;75.63;4.54;71;Bajo
19;1.51;7.74;3;5.07;68.83;1.93;58.64;Bajo
19;2.51;5.23;5.26;4.81;67.45;2.73;64.52;Bajo
19;2.55;5.97;4.63;10.91;76.9;3.86;63.71;Medio
19;3.56;4.84;5.74;5.6;79.14;5.35;62.9;Medio
19;3.08;8.11;4.17;11.72;84.02;3.1;70.86;Medio
19;2.92;6.91;5.18;18.39;71.38;3.84;52.08;Medio
19;5.1;6.11;4.27;3.93;88.81;6.59;65.72;Medio
19;1.86;6.74;4.9;7.45;73.71;1.42;69.78;Medio
19;5.7;4.88;3.4;0.38;85.13;7.79;66.43;Medio
19;2.33;7.56;4.68;0;82.29;2.99;59.88;Medio
19;3.99;6.45;1.91;15.37;88.66;5.95;64.37;Medio
19;2.45;6.21;4.73;15.22;66.98;1;63.98;Medio
19;3.35;7.29;5.58;13.02;73.6;3.71;64.49;Medio
19;4.17;7.36;4.76;3.31;76.34;4.25;62.96;Medio
19;4.83;5.81;6.62;4.65;81.77;4.33;51.48;Medio
19;3.66;5.58;7.26;9.75;74.69;4.36;62.43;Medio
19;3.93;5.33;5.4;7.14;70.99;4.48;65.99;Medio
19;3.31;7.89;4.65;1.89;75.28;1.66;62.07;Medio
19;3.01;7.25;5.07;13.89;80.43;3.28;64.4;Medio
19;2.29;8.99;2.19;6;66.22;1;69.16;Medio
19;3.31;6.94;5.35;6.6;76.08;4.54;57.75;Medio
19;5.24;7.91;3.73;4.74;85.49;4.89;53.97;Medio
19;5.91;6.97;3.48;14.92;94.6;6.32;70.31;Medio
19;3.74;5.5;1;10.62;79.96;5.31;66.17;Medio
19;4.41;6.87;3.81;8.14;80.51;4.9;70.92;Medio
19;4.93;6.88;1.28;0.46;80.24;5.78;70.44;Medio
19;2.59;6.66;4.26;6.01;67.54;2.64;69.4;Medio
19;3.58;6.83;6.34;7.35;71.71;4.41;58.99;Medio
19;4.39;5.54;6.65;6.53;84.29;5.22;65.09;Medio
19;6.14;6.51;5.97;11.74;87.98;7.4;71.9;Medio
19;4.93;6.42;3.63;9.03;86.72;6.42;75.04;Medio
19;4.63;6.19;5.21;8.89;88.96;6.19;66.65;Medio
19;3.03;5.45;4.56;21;70.43;4.31;63.66;Medio
19;5.97;7.02;3.04;13.17;85.84;5.75;63.65;Medio
19;4.67;6.48;1;0;79.28;6.07;64.56;Medio
19;3.31;6.62;5.39;1.24;68.7;4.49;56.02;Medio
19;5.36;5.5;7.56;10.52;79.48;7.21;69.64;Medio
19;3.63;5.77;7.48;2.42;76.74;2.85;68.37;Medio
19;5.28;5.46;4.46;5.82;78.58;5.48;77.33;Medio
19;5.14;5.83;2.14;3.06;90.04;4.64;71.31;Medio
19;2.15;6.72;4.72;8.07;63.87;1;69.28;Medio
19;6.46;5.98;4.65;10.44;88.82;6.95;65.68;Medio
19;2.31;6.93;5.84;12.16;71.38;1.98;72.87;Alto
19;3.78;6.83;4.22;15.99;83.97;3.22;70.93;Alto
19;5.91;5.98;1.41;21;84.56;5.78;68.51;Alto
19;2.35;8.3;7.18;1.91;67.01;1.22;68.44;Alto
19;3.16;6.01;7.63;5.43;73.47;5.09;70.43;Alto
19;5.21;5.07;7.51;7.88;89.14;4.14;69.42;Alto
19;4.28;9.06;5.45;0;86.18;2.54;77.16;Alto
19;6.35;6.05;6.03;11.5;90.6;6.66;77.27;Alto
19;5.8;6.9;7.52;6.89;82.72;4.89;69.26;Alto
19;5.14;7.38;6.98;1.49;89.68;3.41;76.49;Alto
19;5.28;5.72;4.41;9.23;86.68;5.26;71.21;Alto
19;2.83;8.54;6.36;6.42;75.71;1.48;69.64;Alto
19;4.8;7.43;4.69;13.38;86.23;4.14;59.83;Alto
19;2.81;7.79;7.66;4.32;74.4;2.44;71.24;Alto
19;5.44;6.81;7.02;14.72;88.69;4.99;69.92;Alto
19;7.55;4.94;7.12;0;100;8.05;78.57;Alto
19;5.19;6;4.92;8.19;86.12;4.17;63.62;Alto
19;2.77;7.19;5.36;8.84;67.33;3.27;85.99;Alto
19;5.04;9.42;4.98;14.1;79.64;1.98;80.3;Alto
19;5.87;8.14;2.98;2.76;86.15;5.12;67.91;Alto
19;4.31;8.3;4.95;11.94;76.63;1.82;68.55;Alto
19;4.35;7.53;4.15;0.31;72.37;2.47;76.5;Alto
19;6.31;7.02;4.31;11.41;93.74;6.35;71.15;Alto
19;3.91;8.05;5.08;4.18;79.65;2.6;74.55;Alto
19;5.03;8.25;6.13;5.51;86.32;4.62;73.1;Alto
19;4.86;7.37;4.33;6.29;75.29;4.32;81.36;Alto
19;4.7;6.69;1.92;1.55;78.13;2.7;74.92;Alto
19;5.73;6.6;8.17;14.32;78.9;6.1;77.24;Alto
19;2.74;7.43;3.48;2.54;71.22;2.01;85.81;Alto
19;4.65;8.14;4.94;3.64;78.99;3.05;72.27;Alto
19;5.27;8.35;8.11;8.2;86.38;3.1;69.17;Alto
19;4.55;8.88;2.15;5.48;83.17;2.79;84.39;Alto
19;4.8;7.79;4;7.75;85.48;3.02;77.02;Alto
19;3.97;8.62;5.94;13.92;87.06;1;86.79;Alto
19;6.84;7.35;8.58;10.42;95.67;6.81;76.47;Alto
19;7.03;7.18;6.01;4.49;98.82;6.7;87.8;Alto
19;6.82;7.65;4.1;4.18;92.51;5.66;86.64;Alto
19;7.7;7.38;4.49;4.12;89.1;8.38;88.83;Alto
19;7.82;7.76;2.19;13.13;100;5.89;79.26;Alto
19;5.5;6.13;2.12;9.23;90.44;4.86;77.42;Alto
19;7.3;8.57;3.96;8.24;95.88;4.56;89.41;Alto
19;5.71;8.07;2.98;12.96;82.76;3.05;86.69;Alto
20;2.51;3.19;2.87;7.76;69.31;7.89;44.91;Bajo
20;4.02;5.3;7.45;2.77;87.39;7.36;45.77;Bajo
20;3.14;4.72;6.73;1.8;72.45;5.46;48.43;Bajo
20;4.77;4.24;3.07;4.72;84.55;8.54;51.46;Bajo
20;3.46;5.56;3.9;7.19;81.49;4.53;59.33;Bajo
20;5.21;3.41;5.9;1.22;82.63;8.6;44.54;Bajo
20;3.39;5.04;7.22;8.87;84.49;5.98;49.89;Bajo
20;2.95;5.48;7.48;0;68.84;5.29;62.79;Bajo
20;3.69;5.71;6.51;6.55;75.85;5.09;59.29;Bajo
20;3.08;4.52;2.25;11.03;69.66;5.88;47.55;Bajo
20;2.51;5.89;4.76;9.62;58.45;4.13;52.51;Bajo
20;3.43;4.33;6.12;1.18;85.83;6.8;47.44;Bajo
20;2.92;5.36;1.75;12.31;80.96;6.3;63.09;Bajo
20;5.02;7.61;2.66;11.93;86.1;5.52;56.34;Bajo
20;2.7;5.73;5.29;2.91;74.27;5.16;56.72;Bajo
20;5.35;4.27;5.21;4.16;98.81;7.4;60.51;Bajo
20;4.3;5.73;2.07;10.21;86.76;5.05;55.75;Bajo
20;3.96;6.58;4.97;10.22;72.99;4.92;58.08;Bajo
20;6.39;5.19;5.8;0;97.21;9.83;59.58;Bajo
20;3.41;5.61;1.54;0;72.64;4.34;59.71;Bajo
20;4.67;6.46;2.18;1.25;90.69;6.62;65.37;Bajo
20;4.8;5.92;4;7.83;86;3.7;61.95;Bajo
20;4.52;5.21;7.21;11.32;80.17;7.9;62.21;Bajo
20;5.17;4.36;4.25;1.37;81.89;9.29;64.59;Bajo
20;2.4;7.14;6.12;14.27;76.26;1;55.73;Bajo
20;2.04;6.3;5.34;2.72;73.25;4.34;55.85;Bajo
20;4.18;6.06;4.95;4.54;81.17;5.05;71.84;Bajo
20;2.51;6.81;1.98;10.95;74.67;3.85;51.11;Bajo
20;4.17;5.63;3.03;13.07;88.28;5.01;54.2;Bajo
20;4.24;6.04;3.24;6.77;74.86;5.19;69.56;Bajo
20;4.28;5.97;6.23;15.66;83.39;5.74;59.89;Bajo
20;3.71;7.13;3.09;4.75;79.59;5.44;67.94;Bajo
20;4.24;6.18;3.02;0;86.68;6.02;54.58;Bajo
20;4.3;7.95;9.53;4.58;77.76;5.72;64.37;Bajo
20;2.08;7.38;1.13;9.18;70.86;1;58.38;Medio
20;3.61;5.33;8.32;8.98;75.18;5.46;61.39;Medio
20;3.25;5.54;10.84;6.21;76.38;5.33;62;Medio
20;4.42;5.74;2.1;11.79;81.92;3.96;72.41;Medio
20;6.19;5.81;5.11;4.76;88.28;8.11;55.25;Medio
20;7.29;5.39;7.89;7.9;97.32;8.36;64.71;Medio
20;5.06;6.33;4.22;12.17;77.37;6.13;59.55;Medio
20;2.47;6.58;3.89;15.21;72.75;3.57;61.07;Medio
20;3.09;5.9;8.36;11.77;78.99;4.23;69.24;Medio
20;4.95;5.52;6.57;14.83;89.03;6.81;60.88;Medio
20;3.98;5.78;4.47;4.21;75.91;5.73;72.72;Medio
20;4.89;4.95;2.48;6.11;94.27;4.31;61.19;Medio
20;5.97;5.52;3.09;15.61;90.55;6.96;62.52;Medio
20;5.86;6.79;5.62;7.45;89.52;5.54;65.2;Medio
20;4.04;5.03;8.13;15.14;72.65;6.17;59.9;Medio
20;1.43;8.15;3.67;9.81;72.6;1;64.85;Medio
20;5.44;5.2;4.92;5.93;96.58;7.35;74.52;Medio
20;3.18;7.83;6.36;7.95;73.64;2.08;60.92;Medio
20;2.95;5.97;6.36;9.48;71.66;2.39;68.65;Medio
20;5.01;5.62;6.17;3.32;86.96;6.46;66.51;Medio
20;3.36;6.07;4.36;4.11;65.11;4.78;64.31;Medio
20;5;5.54;6.38;4.8;90.27;6.54;75.42;Medio
20;3.85;5.71;7.08;6.96;78.73;5.79;72.52;Medio
